iter	Passed	Remaining
0	4	492
1	9	464
2	14	467
3	18	451
4	25	476
5	29	467
6	36	486
7	40	469
8	46	470
9	51	464
10	57	462
11	62	459
12	67	448
13	72	443
14	77	437
15	82	430
16	87	428
17	93	425
18	99	425
19	104	417
20	109	412
21	115	411
22	120	403
23	126	400
24	130	391
25	135	384
26	141	382
27	145	375
28	151	370
29	155	363
30	160	357
31	166	352
32	170	346
33	175	341
34	181	336
35	186	331
36	191	325
37	196	320
38	201	315
39	207	311
40	212	305
41	214	295
42	218	289
43	223	284
44	228	279
45	234	275
46	239	269
47	245	265
48	250	260
49	255	255
50	259	249
51	264	244
52	269	238
53	274	233
54	278	227
55	284	223
56	289	218
57	293	212
58	298	207
59	303	202
60	307	196
61	312	191
62	318	186
63	323	181
64	328	176
65	333	171
66	338	166
67	342	161
68	348	156
69	353	151
70	357	146
71	363	141
72	368	136
73	372	130
74	377	125
75	381	120
76	387	115
77	419	118
78	450	119
79	451	112
80	453	106
81	455	99
82	456	93
83	464	88
84	466	82
85	469	76
86	470	70
87	472	64
88	473	58
89	475	52
90	476	47
91	477	41
92	478	36
93	480	30
94	481	25
95	483	20
96	484	14
97	486	9
98	487	4
99	488	0
